match_id,code_a,code_b,embedding_similarity,confidence_score,verdict,safety_flags,is_ground_truth_match,explanation
MATCH-IOCL-FLA-1182-IOCL-FLA-1240,IOCL-FLA-1182,IOCL-FLA-1240,0.8559,0.1712,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 254.0mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 85.6%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-IOCL-FLA-1196,IOCL-FLA-1182,IOCL-FLA-1196,0.8098,0.162,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 152.4mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 81.0%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-IOCL-FLA-1200,IOCL-FLA-1182,IOCL-FLA-1200,0.8064,0.1613,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 203.2mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 80.6%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-GAIL-FLA-1179,IOCL-FLA-1182,GAIL-FLA-1179,0.6707,0.1341,not_duplicate,PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 67.1%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-GAIL-FLA-1192,IOCL-FLA-1182,GAIL-FLA-1192,0.6185,0.1237,not_duplicate,DIMENSION_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 100.0mm. Semantic text similarity was 61.8%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-BPCL-FLA-1186,IOCL-FLA-1182,BPCL-FLA-1186,0.61,0.122,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 80.0mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 61.0%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-IOCL-FLA-1190,IOCL-FLA-1182,IOCL-FLA-1190,0.5529,0.1106,not_duplicate,DIMENSION_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 100.0mm. Semantic text similarity was 55.3%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-GAIL-FLA-1175,IOCL-FLA-1182,GAIL-FLA-1175,0.4886,0.0977,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 25.0mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 48.9%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-BPCL-FLA-1177,IOCL-FLA-1182,BPCL-FLA-1177,0.4762,0.0952,not_duplicate,PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 47.6%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-IOCL-FLA-1187,IOCL-FLA-1182,IOCL-FLA-1187,0.4752,0.095,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 100.0mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 47.5%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-IOCL-FLA-1219,IOCL-FLA-1182,IOCL-FLA-1219,0.4708,0.0942,not_duplicate,GRADE_MISMATCH;PRESSURE_MISMATCH;STANDARD_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Grade/metallurgy mismatch: 'A105' vs 'F304'; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'; Different governing standards: 'ASTM A105' vs 'ASTM A182'. Semantic text similarity was 47.1%, but technical specifications strictly prohibit merging."
MATCH-IOCL-FLA-1182-BPCL-FLA-1198,IOCL-FLA-1182,BPCL-FLA-1198,0.4516,0.0903,not_duplicate,DIMENSION_MISMATCH;PRESSURE_MISMATCH,False,"Not duplicate. Safety Gate Triggered: Dimension variance exceeds safety threshold: 50.8mm vs 200.0mm; Pressure rating conflict: 'CLASS 300' vs 'CLASS 150'. Semantic text similarity was 45.2%, but technical specifications strictly prohibit merging."
